super_opeid,name,type,tier,iclevel,state,count,access,success,mobility
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,275,44.357517,4.5164714,2.0033944
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,838.66669,5.2441354,27.390284,1.4363836
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,679.33331,15.455516,9.6129665,1.4857335
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,495.66666,9.3524237,17.490002,1.635739
1345,Adams State University,Public,Selective public,Four-year,CO,393.33334,12.922439,14.582914,1.8844681
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,509,8.7048025,37.433441,3.2585073
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,663,11.428819,8.6981258,.99409306
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,240.33333,6.0760288,15.741579,.95646286
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,58,2.5902088,77.881294,2.0172882
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,127.66666,15.953134,19.706888,3.1438663
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,120.5,12.763434,29.661634,3.7858434
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,164,7.2003045,20.477133,1.4744159
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,553.66669,20.115341,8.5034866,1.7105054
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,943.66669,24.356117,17.323408,4.2193098
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,248,29.389938,10.472322,3.0778091
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,518.33331,13.409744,3.3365202,.44741881
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,6901.3335,21.751642,11.221429,2.440845
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,129,3.9403558,85.208885,3.3575335
1544,Albany State University,Public,Selective public,Four-year,GA,521,23.301081,11.070278,2.5794942
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,312.5,44.530651,3.2280397,1.4374671
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,65.666664,12.973523,42.551868,5.5204768
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,398,2.2652307,30.077225,.68131846
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,314,5.1434021,26.647335,1.3705796
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,126,12.749578,21.464056,2.7365766
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,454.66666,6.5330887,22.609419,1.4770933
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,1220,14.08916,13.81499,1.9464159
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,562.5,15.657393,12.547563,1.9646211
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,434.5,3.7381232,35.939037,1.3434455
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,420.66666,10.632456,10.357491,1.1012558
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,266.5,5.0117993,23.263311,1.1659105
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,298.5,15.903666,9.6057673,1.5276693
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,122,37.032307,6.1545224,2.2791615
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,210.33333,6.6485949,32.86742,2.1852217
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,161,15.033281,17.699276,2.6607819
