super_opeid,name,cohort,type,tier,iclevel,state,count,access,success,mobility
30955,ASA Institute Of Business & Computer Technology,1980,Private For-profit,Two-year for-profit,Two-year,NY,,,,
30955,ASA Institute Of Business & Computer Technology,1981,Private For-profit,Two-year for-profit,Two-year,NY,,,,
30955,ASA Institute Of Business & Computer Technology,1982,Private For-profit,Two-year for-profit,Two-year,NY,204,42.162086,8.1259317,3.4260623
30955,ASA Institute Of Business & Computer Technology,1983,Private For-profit,Two-year for-profit,Two-year,NY,249,45.499016,1.6772171,.76311731
30955,ASA Institute Of Business & Computer Technology,1984,Private For-profit,Two-year for-profit,Two-year,NY,372,46.527405,5.1881027,2.4138894
30955,ASA Institute Of Business & Computer Technology,1985,Private For-profit,Two-year for-profit,Two-year,NY,411,43.316902,7.8986726,3.4214602
30955,ASA Institute Of Business & Computer Technology,1986,Private For-profit,Two-year for-profit,Two-year,NY,478,45.151775,5.6349487,2.5442793
30955,ASA Institute Of Business & Computer Technology,1987,Private For-profit,Two-year for-profit,Two-year,NY,640,48.276142,6.4620957,3.1196504
30955,ASA Institute Of Business & Computer Technology,1988,Private For-profit,Two-year for-profit,Two-year,NY,778,45.66814,3.921946,1.7910799
30955,ASA Institute Of Business & Computer Technology,1989,Private For-profit,Two-year for-profit,Two-year,NY,954,43.812542,5.4035721,2.3674424
30955,ASA Institute Of Business & Computer Technology,1990,Private For-profit,Two-year for-profit,Two-year,NY,981,44.842186,5.8833451,2.6382205
30955,ASA Institute Of Business & Computer Technology,1991,Private For-profit,Two-year for-profit,Two-year,NY,954,40.048927,11.917603,4.7728724
3537,Abilene Christian University,1980,Private Non-profit,Selective private,Four-year,TX,840,5.1621752,22.613237,1.1673349
3537,Abilene Christian University,1981,Private Non-profit,Selective private,Four-year,TX,838,5.4584427,24.219946,1.3220321
3537,Abilene Christian University,1982,Private Non-profit,Selective private,Four-year,TX,838,5.1140928,35.554405,1.8182853
3537,Abilene Christian University,1983,Private Non-profit,Selective private,Four-year,TX,836,5.3617196,22.219275,1.1913353
3537,Abilene Christian University,1984,Private Non-profit,Selective private,Four-year,TX,774,5.232995,21.824425,1.1420711
3537,Abilene Christian University,1985,Private Non-profit,Selective private,Four-year,TX,843,4.6363354,29.119352,1.3500708
