super_opeid,name,type,tier,iclevel,state,parq,success_by_q,percent
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,1,4.5164714,44.357517
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,2,8.4689856,32.67902
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,3,7.0037613,14.371077
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,4,11.564406,5.9706769
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,5,19.723282,2.6217194
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,1,27.390284,5.2441354
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,2,24.765148,10.103199
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,3,20.166176,16.393574
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,4,31.467104,25.824007
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,5,36.187241,42.435089
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,1,9.6129665,15.455516
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,2,14.24761,18.715858
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,3,16.164011,22.549702
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,4,20.123436,23.676256
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,5,22.507202,19.602654
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,1,17.490002,9.3524237
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,2,24.405495,12.291716
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,3,25.113821,17.53495
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,4,25.191446,21.152514
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,5,29.660494,39.668404
